BU_CODE,pop,hh,p_hh_low_income,p_hh_lowest_20,p_hh_highest_40,cars_per_hh,nr_w_migr,nr_nw_migr,avg_inc_per_res,area_total,area_land,pop_density,house_price,nr_hh_low_income,1-nr_hh_low_income,nr_hh_lowest_20,nr_hh_highest_40,nr_migr,nr_dutch,p_w_migr,p_nw_migr,p_dutch,p_migr
BU03630000,1035,755,0.154,0.5529999999999999,0.11800000000000001,0.2,340,175,,0.08,0.06,17048.0,401,116.27,638.73,417.51499999999993,89.09,515,520,0.3285024154589372,0.16908212560386474,0.5024154589371981,0.4975845410628019
BU03630001,705,505,0.174,0.612,0.11800000000000001,0.2,250,110,,0.09,0.09,7989.0,419,87.86999999999999,417.13,309.06,59.59,360,345,0.3546099290780142,0.15602836879432624,0.48936170212765956,0.5106382978723404
BU03630002,1570,1105,0.152,0.594,0.11599999999999999,0.2,515,295,,0.07,0.06,25257.0,436,167.96,937.04,656.37,128.17999999999998,810,760,0.32802547770700635,0.18789808917197454,0.4840764331210191,0.5159235668789809
BU03630003,350,235,0.10300000000000001,0.473,0.204,0.4,125,35,,0.06,0.05,6584.0,577,24.205000000000002,210.795,111.155,47.94,160,190,0.35714285714285715,0.1,0.5428571428571428,0.45714285714285713
BU03630004,625,435,0.162,0.5820000000000001,0.14400000000000002,0.3,175,100,,0.1,0.08,7428.0,532,70.47,364.53,253.17000000000004,62.64000000000001,275,350,0.28,0.16,0.56,0.44
BU03630100,0,0,,,,,5,0,,0.26,0.14,,,,,,,5,-5,,,,
BU03630101,600,435,0.13,0.539,0.13699999999999998,0.3,235,100,,0.06,0.06,10874.0,416,56.550000000000004,378.45,234.465,59.59499999999999,335,265,0.39166666666666666,0.16666666666666666,0.44166666666666665,0.5583333333333333
BU03630102,465,335,0.14300000000000002,0.621,0.13699999999999998,0.2,185,100,,0.07,0.06,8443.0,401,47.90500000000001,287.09499999999997,208.035,45.894999999999996,285,180,0.3978494623655914,0.21505376344086022,0.3870967741935484,0.6129032258064516
BU03630103,805,560,0.134,0.539,0.14300000000000002,0.3,315,125,,0.06,0.05,16036.0,464,75.04,484.96,301.84000000000003,80.08000000000001,440,365,0.391304347826087,0.15527950310559005,0.453416149068323,0.546583850931677
BU03630104,825,550,0.11199999999999999,0.516,0.145,0.3,315,140,,0.08,0.08,9797.0,419,61.599999999999994,488.4,283.8,79.75,455,370,0.38181818181818183,0.1696969696969697,0.4484848484848485,0.5515151515151515
BU03630105,730,520,0.141,0.5720000000000001,0.145,0.2,280,110,,0.07,0.06,12269.0,521,73.32,446.68,297.44000000000005,75.39999999999999,390,340,0.3835616438356164,0.1506849315068493,0.4657534246575342,0.5342465753424658
BU03630106,420,315,0.099,0.613,0.10300000000000001,0.2,130,75,,0.07,0.07,6004.0,413,31.185000000000002,283.815,193.095,32.445,205,215,0.30952380952380953,0.17857142857142858,0.5119047619047619,0.4880952380952381
BU03630107,265,185,0.06,0.449,0.205,0.2,110,35,,0.06,0.05,5052.0,551,11.1,173.9,83.065,37.925,145,120,0.41509433962264153,0.1320754716981132,0.4528301886792453,0.5471698113207547
BU03630200,1840,1160,0.075,0.379,0.314,0.5,565,155,,0.12,0.1,18959.0,777,87.0,1073.0,439.64,364.24,720,1120,0.3070652173913043,0.08423913043478261,0.6086956521739131,0.391304347826087
BU03630201,1810,1160,0.08,0.37799999999999995,0.336,0.5,645,230,,0.17,0.14,13306.0,837,92.8,1067.2,438.47999999999996,389.76000000000005,875,935,0.356353591160221,0.1270718232044199,0.5165745856353591,0.48342541436464087
BU03630202,2035,1330,0.092,0.409,0.303,0.5,690,215,,0.2,0.16,12634.0,764,122.36,1207.64,543.9699999999999,402.99,905,1130,0.33906633906633904,0.10565110565110565,0.5552825552825553,0.44471744471744473
BU03630203,685,445,0.083,0.389,0.342,0.5,210,85,,0.07,0.05,12828.0,919,36.935,408.065,173.10500000000002,152.19,295,390,0.30656934306569344,0.12408759124087591,0.5693430656934306,0.4306569343065693
BU03630300,810,500,0.08900000000000001,0.361,0.349,0.5,300,130,,0.09,0.08,10210.0,777,44.50000000000001,455.5,180.5,174.5,430,380,0.37037037037037035,0.16049382716049382,0.4691358024691358,0.5308641975308642
BU03630301,130,80,,,,1.0,40,10,,0.06,0.05,2853.0,937,,,,,50,80,0.3076923076923077,0.07692307692307693,0.6153846153846154,0.38461538461538464
BU03630302,1425,870,0.07200000000000001,0.387,0.293,0.5,420,125,,0.15,0.13,10995.0,896,62.64000000000001,807.36,336.69,254.91,545,880,0.29473684210526313,0.08771929824561403,0.6175438596491228,0.3824561403508772
BU03630303,1505,915,0.092,0.39899999999999997,0.299,0.5,415,165,,0.15,0.11,13617.0,826,84.17999999999999,830.82,365.085,273.585,580,925,0.2757475083056478,0.10963455149501661,0.6146179401993356,0.3853820598006645
BU03630304,475,350,0.092,0.507,0.182,0.3,180,100,,0.08,0.06,8180.0,539,32.2,317.8,177.45,63.699999999999996,280,195,0.37894736842105264,0.21052631578947367,0.4105263157894737,0.5894736842105263
BU03630305,380,275,0.136,0.573,0.13,0.2,150,105,,0.05,0.04,9386.0,478,37.400000000000006,237.6,157.575,35.75,255,125,0.39473684210526316,0.27631578947368424,0.32894736842105265,0.6710526315789473
BU03630306,645,405,0.07400000000000001,0.401,0.306,0.5,225,65,,0.07,0.05,11910.0,781,29.970000000000002,375.03,162.405,123.92999999999999,290,355,0.3488372093023256,0.10077519379844961,0.5503875968992248,0.4496124031007752
BU03630400,470,280,0.07200000000000001,0.316,0.35,,125,115,,0.24,0.12,3794.0,605,20.160000000000004,259.84,88.48,98.0,240,230,0.26595744680851063,0.24468085106382978,0.48936170212765956,0.5106382978723404
BU03630401,730,470,0.087,0.447,0.217,0.3,220,55,,0.11,0.05,13737.0,662,40.89,429.11,210.09,101.99,275,455,0.3013698630136986,0.07534246575342465,0.6232876712328768,0.3767123287671233
BU03630402,985,625,0.115,0.506,0.2,0.3,340,175,,0.17,0.09,10767.0,448,71.875,553.125,316.25,125.0,515,470,0.34517766497461927,0.17766497461928935,0.47715736040609136,0.5228426395939086
BU03630403,1065,695,0.12,0.522,0.17800000000000002,0.3,280,110,,0.08,0.05,20286.0,466,83.39999999999999,611.6,362.79,123.71000000000001,390,675,0.26291079812206575,0.10328638497652583,0.6338028169014085,0.36619718309859156
BU03630404,1630,1065,0.171,0.64,0.11199999999999999,0.2,400,235,,0.07,0.06,27429.0,427,182.115,882.885,681.6,119.27999999999999,635,995,0.24539877300613497,0.1441717791411043,0.6104294478527608,0.3895705521472393
BU03630405,1175,795,0.12300000000000001,0.47100000000000003,0.207,0.3,305,240,,0.11,0.08,14642.0,461,97.78500000000001,697.215,374.44500000000005,164.565,545,630,0.25957446808510637,0.20425531914893616,0.5361702127659574,0.46382978723404256
BU03630406,1210,820,0.07200000000000001,0.494,0.175,0.3,365,180,,0.07,0.07,17853.0,521,59.040000000000006,760.96,405.08,143.5,545,665,0.30165289256198347,0.1487603305785124,0.5495867768595041,0.45041322314049587
BU03630407,1510,1065,0.15,0.578,0.14800000000000002,0.3,390,215,,0.09,0.07,22212.0,530,159.75,905.25,615.5699999999999,157.62000000000003,605,905,0.2582781456953642,0.1423841059602649,0.5993377483443708,0.40066225165562913
