id,node,group,tolerance
0,16,g0,0.8
1,44,g0,0.8
2,34,g0,0.8
3,29,g0,0.8
4,4,g0,0.8
5,4,g0,0.8
6,1,g0,0.8
7,42,g0,0.8
8,30,g0,0.8
9,33,g0,0.8
10,0,g0,0.8
11,46,g0,0.8
12,41,g0,0.8
13,10,g0,0.8
14,7,g0,0.8
15,7,g0,0.8
16,13,g0,0.8
17,23,g0,0.8
18,20,g0,0.8
19,12,g0,0.8
20,30,g0,0.8
21,4,g0,0.8
22,12,g0,0.8
23,15,g0,0.8
24,21,g0,0.8
25,38,g0,0.8
26,9,g0,0.8
27,23,g0,0.8
28,29,g0,0.8
29,1,g0,0.8
30,30,g0,0.8
31,6,g0,0.8
32,2,g0,0.8
33,44,g0,0.8
34,45,g0,0.8
35,40,g0,0.8
36,13,g0,0.8
37,3,g0,0.8
38,32,g0,0.8
39,21,g0,0.8
40,3,g0,0.8
41,22,g0,0.8
42,1,g0,0.8
43,43,g0,0.8
44,11,g0,0.8
45,31,g0,0.8
46,13,g0,0.8
47,23,g0,0.8
48,24,g0,0.8
49,8,g0,0.8
50,46,g0,0.8
51,36,g0,0.8
52,44,g0,0.8
53,42,g0,0.8
54,29,g0,0.8
55,43,g0,0.8
56,2,g0,0.8
57,9,g0,0.8
58,1,g0,0.8
59,13,g0,0.8
60,18,g0,0.8
61,12,g0,0.8
62,40,g0,0.8
63,14,g0,0.8
64,12,g0,0.8
65,24,g0,0.8
66,4,g0,0.8
67,40,g0,0.8
68,2,g0,0.8
69,48,g0,0.8
70,36,g0,0.8
71,9,g0,0.8
72,0,g0,0.8
73,40,g0,0.8
74,33,g0,0.8
75,34,g0,0.8
76,36,g0,0.8
77,2,g0,0.8
78,14,g0,0.8
79,3,g0,0.8
80,41,g0,0.8
81,30,g0,0.8
82,14,g0,0.8
83,1,g0,0.8
84,13,g0,0.8
85,13,g0,0.8
86,34,g0,0.8
87,31,g0,0.8
88,42,g0,0.8
89,22,g0,0.8
90,3,g0,0.8
91,33,g0,0.8
92,35,g0,0.8
93,25,g0,0.8
94,36,g0,0.8
95,22,g0,0.8
96,23,g0,0.8
97,20,g0,0.8
98,0,g0,0.8
99,3,g0,0.8
100,0,g0,0.8
101,31,g0,0.8
102,13,g0,0.8
103,23,g0,0.8
104,43,g0,0.8
105,11,g0,0.8
106,20,g0,0.8
107,34,g0,0.8
108,10,g0,0.8
109,2,g0,0.8
110,12,g0,0.8
111,5,g0,0.8
112,44,g0,0.8
113,40,g0,0.8
114,31,g0,0.8
115,42,g0,0.8
116,40,g0,0.8
117,8,g0,0.8
118,42,g0,0.8
119,24,g0,0.8
120,40,g0,0.8
121,43,g0,0.8
122,13,g0,0.8
123,3,g0,0.8
124,10,g0,0.8
125,20,g0,0.8
126,40,g0,0.8
127,41,g0,0.8
128,0,g0,0.8
129,23,g0,0.8
130,20,g0,0.8
131,10,g0,0.8
132,3,g0,0.8
133,14,g0,0.8
134,44,g0,0.8
135,13,g0,0.8
136,23,g0,0.8
137,33,g0,0.8
138,15,g0,0.8
139,46,g0,0.8
140,45,g0,0.8
141,11,g0,0.8
142,23,g0,0.8
143,13,g0,0.8
144,12,g0,0.8
145,1,g0,0.8
146,30,g0,0.8
147,23,g0,0.8
148,1,g0,0.8
149,12,g0,0.8
150,43,g0,0.8
151,11,g0,0.8
152,4,g0,0.8
153,22,g0,0.8
154,48,g0,0.8
155,11,g0,0.8
156,32,g0,0.8
157,35,g0,0.8
158,11,g0,0.8
159,34,g0,0.8
160,15,g0,0.8
161,31,g0,0.8
162,31,g0,0.8
163,24,g0,0.8
164,2,g0,0.8
165,41,g0,0.8
166,13,g0,0.8
167,8,g0,0.8
168,1,g0,0.8
169,28,g0,0.8
170,32,g0,0.8
171,0,g0,0.8
172,23,g0,0.8
173,10,g0,0.8
174,31,g0,0.8
175,6,g0,0.8
176,32,g0,0.8
177,18,g0,0.8
178,44,g0,0.8
179,4,g0,0.8
180,14,g0,0.8
181,3,g0,0.8
182,43,g0,0.8
183,42,g0,0.8
184,11,g0,0.8
185,31,g0,0.8
186,40,g0,0.8
187,24,g0,0.8
188,24,g0,0.8
189,11,g0,0.8
190,2,g0,0.8
191,43,g0,0.8
192,43,g0,0.8
193,31,g0,0.8
194,14,g0,0.8
195,14,g0,0.8
196,33,g0,0.8
197,43,g0,0.8
198,42,g0,0.8
199,37,g0,0.8
200,31,g0,0.8
201,2,g0,0.8
202,5,g0,0.8
203,43,g0,0.8
204,30,g0,0.8
205,0,g0,0.8
206,3,g0,0.8
207,31,g0,0.8
208,0,g0,0.8
209,5,g0,0.8
210,24,g0,0.8
211,32,g0,0.8
212,31,g0,0.8
213,10,g0,0.8
214,33,g0,0.8
215,11,g0,0.8
216,13,g0,0.8
217,34,g0,0.8
218,31,g0,0.8
219,41,g0,0.8
220,31,g0,0.8
221,26,g0,0.8
222,2,g0,0.8
223,15,g0,0.8
224,12,g0,0.8
225,11,g0,0.8
226,46,g0,0.8
227,19,g0,0.8
228,42,g0,0.8
229,30,g0,0.8
230,39,g0,0.8
231,23,g0,0.8
232,27,g0,0.8
233,22,g0,0.8
234,9,g0,0.8
235,33,g0,0.8
236,12,g0,0.8
237,0,g0,0.8
238,31,g0,0.8
239,7,g0,0.8
240,44,g0,0.8
241,44,g0,0.8
242,43,g0,0.8
243,16,g0,0.8
244,0,g0,0.8
245,44,g0,0.8
246,20,g0,0.8
247,45,g0,0.8
248,45,g0,0.8
249,41,g0,0.8
250,12,g0,0.8
251,18,g0,0.8
252,41,g0,0.8
253,13,g0,0.8
254,6,g0,0.8
255,24,g0,0.8
256,44,g0,0.8
257,33,g0,0.8
258,26,g0,0.8
259,3,g0,0.8
260,30,g0,0.8
261,48,g0,0.8
262,4,g0,0.8
263,23,g0,0.8
264,42,g0,0.8
265,34,g0,0.8
266,33,g0,0.8
267,33,g0,0.8
268,14,g0,0.8
269,12,g0,0.8
270,40,g0,0.8
271,40,g0,0.8
272,42,g0,0.8
273,43,g0,0.8
274,23,g0,0.8
275,23,g0,0.8
276,39,g0,0.8
277,31,g0,0.8
278,33,g0,0.8
279,39,g0,0.8
280,42,g0,0.8
281,14,g0,0.8
282,16,g0,0.8
283,2,g0,0.8
284,27,g0,0.8
285,1,g0,0.8
286,22,g0,0.8
287,24,g0,0.8
288,12,g0,0.8
289,28,g0,0.8
290,0,g0,0.8
291,1,g0,0.8
292,40,g0,0.8
293,15,g0,0.8
294,3,g0,0.8
295,23,g0,0.8
296,36,g0,0.8
297,10,g0,0.8
298,30,g0,0.8
299,2,g0,0.8
300,1,g0,0.8
301,24,g0,0.8
302,24,g0,0.8
303,31,g0,0.8
304,33,g0,0.8
305,46,g0,0.8
306,23,g0,0.8
307,13,g0,0.8
308,39,g0,0.8
309,12,g0,0.8
310,21,g0,0.8
311,2,g0,0.8
312,0,g0,0.8
313,45,g0,0.8
314,41,g0,0.8
315,32,g0,0.8
316,20,g0,0.8
317,6,g0,0.8
318,4,g0,0.8
319,11,g0,0.8
320,24,g0,0.8
321,33,g0,0.8
322,31,g0,0.8
323,12,g0,0.8
324,44,g0,0.8
325,34,g0,0.8
326,24,g0,0.8
327,30,g0,0.8
328,20,g0,0.8
329,11,g0,0.8
330,14,g0,0.8
331,34,g0,0.8
332,0,g0,0.8
333,3,g0,0.8
334,1,g0,0.8
335,1,g0,0.8
336,41,g0,0.8
337,33,g0,0.8
338,22,g0,0.8
339,3,g0,0.8
340,22,g0,0.8
341,22,g0,0.8
342,6,g0,0.8
343,21,g0,0.8
344,19,g0,0.8
345,30,g0,0.8
346,31,g0,0.8
347,1,g0,0.8
348,16,g0,0.8
349,30,g0,0.8
350,23,g0,0.8
351,41,g0,0.8
352,31,g0,0.8
353,5,g0,0.8
354,2,g0,0.8
355,31,g0,0.8
356,0,g0,0.8
357,28,g0,0.8
358,44,g0,0.8
359,26,g0,0.8
360,18,g0,0.8
361,31,g0,0.8
362,21,g0,0.8
363,24,g0,0.8
364,44,g0,0.8
365,18,g0,0.8
366,45,g0,0.8
367,43,g0,0.8
368,9,g0,0.8
369,2,g0,0.8
370,3,g0,0.8
371,0,g0,0.8
