id,node,group,tolerance
0,12,g0,0.8
1,34,g0,0.8
2,27,g0,0.8
3,22,g0,0.8
4,5,g0,0.19999999999999996
5,5,g0,0.19999999999999996
6,1,g0,0.8
7,32,g0,0.19999999999999996
8,22,g0,0.8
9,27,g0,0.8
10,0,g0,0.8
11,35,g0,0.8
12,29,g0,0.8
13,7,g0,0.8
14,6,g0,0.8
15,6,g0,0.8
16,9,g0,0.19999999999999996
17,20,g0,0.19999999999999996
18,14,g0,0.8
19,8,g0,0.8
20,22,g0,0.8
21,3,g0,0.19999999999999996
22,8,g0,0.8
23,12,g0,0.8
24,14,g0,0.8
25,28,g0,0.8
26,6,g0,0.8
27,19,g0,0.19999999999999996
28,22,g0,0.8
29,1,g0,0.8
30,22,g0,0.8
31,6,g0,0.8
32,1,g0,0.8
33,34,g0,0.8
34,35,g0,0.8
35,29,g0,0.8
36,9,g0,0.19999999999999996
37,2,g0,0.8
38,25,g0,0.19999999999999996
39,14,g0,0.8
40,2,g0,0.8
41,17,g0,0.19999999999999996
42,0,g0,0.8
43,33,g0,0.8
44,8,g0,0.8
45,23,g0,0.8
46,10,g0,0.19999999999999996
47,19,g0,0.19999999999999996
48,21,g0,0.8
49,6,g0,0.8
50,35,g0,0.8
51,28,g0,0.8
52,34,g0,0.8
53,33,g0,0.8
54,22,g0,0.8
55,34,g0,0.8
56,1,g0,0.8
57,6,g0,0.8
58,1,g0,0.8
59,11,g0,0.19999999999999996
60,13,g0,0.8
61,8,g0,0.8
62,29,g0,0.8
63,12,g0,0.8
64,8,g0,0.8
65,21,g0,0.8
66,3,g0,0.19999999999999996
67,29,g0,0.8
68,1,g0,0.8
69,35,g0,0.8
70,28,g0,0.8
71,6,g0,0.8
72,0,g0,0.8
73,29,g0,0.8
74,27,g0,0.8
75,27,g0,0.8
76,28,g0,0.8
77,1,g0,0.8
78,12,g0,0.8
79,2,g0,0.8
80,32,g0,0.19999999999999996
81,23,g0,0.8
82,11,g0,0.19999999999999996
83,1,g0,0.8
84,9,g0,0.19999999999999996
85,11,g0,0.19999999999999996
86,27,g0,0.8
87,23,g0,0.8
88,33,g0,0.8
89,15,g0,0.19999999999999996
90,2,g0,0.8
91,27,g0,0.8
92,28,g0,0.8
93,21,g0,0.8
94,28,g0,0.8
95,17,g0,0.19999999999999996
96,20,g0,0.19999999999999996
97,14,g0,0.8
98,0,g0,0.8
99,2,g0,0.8
100,0,g0,0.8
101,23,g0,0.8
102,10,g0,0.19999999999999996
103,18,g0,0.19999999999999996
104,33,g0,0.8
105,7,g0,0.8
106,13,g0,0.8
107,28,g0,0.8
108,7,g0,0.8
109,1,g0,0.8
110,8,g0,0.8
111,5,g0,0.19999999999999996
112,34,g0,0.8
113,29,g0,0.8
114,23,g0,0.8
115,33,g0,0.8
116,29,g0,0.8
117,6,g0,0.8
118,33,g0,0.8
119,21,g0,0.8
120,29,g0,0.8
121,33,g0,0.8
122,10,g0,0.19999999999999996
123,2,g0,0.8
124,7,g0,0.8
125,14,g0,0.8
126,29,g0,0.8
127,32,g0,0.19999999999999996
128,0,g0,0.8
129,18,g0,0.19999999999999996
130,13,g0,0.8
131,7,g0,0.8
132,2,g0,0.8
133,12,g0,0.8
134,34,g0,0.8
135,11,g0,0.19999999999999996
136,19,g0,0.19999999999999996
137,27,g0,0.8
138,12,g0,0.8
139,35,g0,0.8
140,35,g0,0.8
141,7,g0,0.8
142,17,g0,0.19999999999999996
143,9,g0,0.19999999999999996
144,8,g0,0.8
145,0,g0,0.8
146,22,g0,0.8
147,18,g0,0.19999999999999996
148,1,g0,0.8
149,8,g0,0.8
150,33,g0,0.8
151,7,g0,0.8
152,4,g0,0.19999999999999996
153,17,g0,0.19999999999999996
154,35,g0,0.8
155,7,g0,0.8
156,24,g0,0.19999999999999996
157,28,g0,0.8
158,7,g0,0.8
159,27,g0,0.8
160,12,g0,0.8
161,23,g0,0.8
162,23,g0,0.8
163,21,g0,0.8
164,2,g0,0.8
165,30,g0,0.19999999999999996
166,10,g0,0.19999999999999996
167,6,g0,0.8
168,0,g0,0.8
169,22,g0,0.8
170,24,g0,0.19999999999999996
171,0,g0,0.8
172,19,g0,0.19999999999999996
173,7,g0,0.8
174,23,g0,0.8
175,6,g0,0.8
176,26,g0,0.19999999999999996
177,13,g0,0.8
178,34,g0,0.8
179,3,g0,0.19999999999999996
180,12,g0,0.8
181,2,g0,0.8
182,34,g0,0.8
183,33,g0,0.8
184,8,g0,0.8
185,23,g0,0.8
186,29,g0,0.8
187,21,g0,0.8
188,20,g0,0.19999999999999996
189,7,g0,0.8
190,2,g0,0.8
191,33,g0,0.8
192,33,g0,0.8
193,23,g0,0.8
194,12,g0,0.8
195,12,g0,0.8
196,27,g0,0.8
197,33,g0,0.8
198,33,g0,0.8
199,28,g0,0.8
200,23,g0,0.8
201,1,g0,0.8
202,5,g0,0.19999999999999996
203,33,g0,0.8
204,22,g0,0.8
205,0,g0,0.8
206,2,g0,0.8
207,23,g0,0.8
208,0,g0,0.8
209,5,g0,0.19999999999999996
210,21,g0,0.8
211,26,g0,0.19999999999999996
212,23,g0,0.8
213,7,g0,0.8
214,27,g0,0.8
215,7,g0,0.8
216,11,g0,0.19999999999999996
217,28,g0,0.8
218,23,g0,0.8
219,31,g0,0.19999999999999996
220,23,g0,0.8
221,21,g0,0.8
222,2,g0,0.8
223,12,g0,0.8
224,8,g0,0.8
225,7,g0,0.8
226,35,g0,0.8
227,13,g0,0.8
228,33,g0,0.8
229,23,g0,0.8
230,29,g0,0.8
231,18,g0,0.19999999999999996
232,21,g0,0.8
233,17,g0,0.19999999999999996
234,6,g0,0.8
235,27,g0,0.8
236,8,g0,0.8
237,0,g0,0.8
238,23,g0,0.8
239,6,g0,0.8
240,34,g0,0.8
241,34,g0,0.8
242,34,g0,0.8
243,12,g0,0.8
244,0,g0,0.8
245,34,g0,0.8
246,14,g0,0.8
247,35,g0,0.8
248,35,g0,0.8
249,31,g0,0.19999999999999996
250,8,g0,0.8
251,13,g0,0.8
252,31,g0,0.19999999999999996
253,10,g0,0.19999999999999996
254,6,g0,0.8
255,21,g0,0.8
256,34,g0,0.8
257,26,g0,0.19999999999999996
258,21,g0,0.8
259,2,g0,0.8
260,22,g0,0.8
261,35,g0,0.8
262,3,g0,0.19999999999999996
263,19,g0,0.19999999999999996
264,33,g0,0.8
265,27,g0,0.8
266,26,g0,0.19999999999999996
267,27,g0,0.8
268,12,g0,0.8
269,8,g0,0.8
270,29,g0,0.8
271,29,g0,0.8
272,33,g0,0.8
273,34,g0,0.8
274,19,g0,0.19999999999999996
275,18,g0,0.19999999999999996
276,29,g0,0.8
277,23,g0,0.8
278,27,g0,0.8
279,29,g0,0.8
280,33,g0,0.8
281,12,g0,0.8
282,12,g0,0.8
283,2,g0,0.8
284,22,g0,0.8
285,0,g0,0.8
286,14,g0,0.8
287,21,g0,0.8
288,8,g0,0.8
289,22,g0,0.8
290,0,g0,0.8
291,0,g0,0.8
292,29,g0,0.8
293,12,g0,0.8
294,2,g0,0.8
295,20,g0,0.19999999999999996
296,28,g0,0.8
297,7,g0,0.8
298,23,g0,0.8
299,1,g0,0.8
300,1,g0,0.8
301,20,g0,0.19999999999999996
302,21,g0,0.8
303,23,g0,0.8
304,27,g0,0.8
305,35,g0,0.8
306,19,g0,0.19999999999999996
307,11,g0,0.19999999999999996
308,29,g0,0.8
309,8,g0,0.8
310,14,g0,0.8
311,1,g0,0.8
312,0,g0,0.8
313,35,g0,0.8
314,30,g0,0.19999999999999996
315,26,g0,0.19999999999999996
316,13,g0,0.8
317,6,g0,0.8
318,5,g0,0.19999999999999996
319,7,g0,0.8
320,21,g0,0.8
321,27,g0,0.8
322,23,g0,0.8
323,8,g0,0.8
324,34,g0,0.8
325,27,g0,0.8
326,21,g0,0.8
327,22,g0,0.8
328,13,g0,0.8
329,7,g0,0.8
330,12,g0,0.8
331,28,g0,0.8
332,0,g0,0.8
333,2,g0,0.8
334,1,g0,0.8
335,0,g0,0.8
336,31,g0,0.19999999999999996
337,27,g0,0.8
338,15,g0,0.19999999999999996
339,2,g0,0.8
340,17,g0,0.19999999999999996
341,15,g0,0.19999999999999996
342,6,g0,0.8
343,14,g0,0.8
344,13,g0,0.8
345,22,g0,0.8
346,23,g0,0.8
347,1,g0,0.8
348,12,g0,0.8
349,23,g0,0.8
350,18,g0,0.19999999999999996
351,32,g0,0.19999999999999996
352,23,g0,0.8
353,5,g0,0.19999999999999996
354,1,g0,0.8
355,23,g0,0.8
356,0,g0,0.8
357,22,g0,0.8
358,34,g0,0.8
359,21,g0,0.8
360,13,g0,0.8
361,23,g0,0.8
362,14,g0,0.8
363,21,g0,0.8
364,34,g0,0.8
365,13,g0,0.8
366,35,g0,0.8
367,33,g0,0.8
368,6,g0,0.8
369,1,g0,0.8
370,2,g0,0.8
371,0,g0,0.8
372,2,g0,0.8
373,25,g0,0.19999999999999996
374,1,g0,0.8
375,10,g0,0.19999999999999996
376,31,g0,0.19999999999999996
377,0,g0,0.8
378,29,g0,0.8
379,8,g0,0.8
380,2,g0,0.8
381,26,g0,0.19999999999999996
382,23,g0,0.8
383,33,g0,0.8
384,27,g0,0.8
385,29,g0,0.8
386,8,g0,0.8
387,6,g0,0.8
388,28,g0,0.8
389,29,g0,0.8
390,35,g0,0.8
391,13,g0,0.8
392,12,g0,0.8
393,28,g0,0.8
394,12,g0,0.8
395,34,g0,0.8
396,32,g0,0.19999999999999996
397,14,g0,0.8
398,28,g0,0.8
399,28,g0,0.8
400,2,g0,0.8
401,33,g0,0.8
402,18,g0,0.19999999999999996
403,29,g0,0.8
404,10,g0,0.19999999999999996
405,33,g0,0.8
406,13,g0,0.8
407,0,g0,0.8
408,33,g0,0.8
409,2,g0,0.8
410,10,g0,0.19999999999999996
411,34,g0,0.8
412,34,g0,0.8
413,21,g0,0.8
414,23,g0,0.8
415,14,g0,0.8
416,8,g0,0.8
417,11,g0,0.19999999999999996
418,24,g0,0.19999999999999996
419,28,g0,0.8
420,29,g0,0.8
421,29,g0,0.8
422,2,g0,0.8
423,17,g0,0.19999999999999996
424,1,g0,0.8
425,21,g0,0.8
426,14,g0,0.8
427,33,g0,0.8
428,12,g0,0.8
429,2,g0,0.8
430,3,g0,0.19999999999999996
431,28,g0,0.8
432,22,g0,0.8
433,2,g0,0.8
434,1,g0,0.8
435,27,g0,0.8
436,1,g0,0.8
437,29,g0,0.8
438,27,g0,0.8
439,1,g0,0.8
440,1,g0,0.8
441,35,g0,0.8
442,12,g0,0.8
443,12,g0,0.8
444,29,g0,0.8
445,34,g0,0.8
446,35,g0,0.8
447,28,g0,0.8
448,12,g0,0.8
