id,node,group,tolerance
0,38,g1,0.8
1,14,g0,0.8
2,20,g0,0.8
3,18,g0,0.8
4,10,g1,0.8
5,35,g0,0.8
6,2,g0,0.8
7,1,g0,0.8
8,29,g1,0.8
9,20,g0,0.8
10,21,g0,0.8
11,24,g0,0.8
12,41,g0,0.8
13,15,g0,0.8
14,46,g1,0.8
15,43,g1,0.8
16,2,g1,0.8
17,6,g0,0.8
18,38,g0,0.8
19,24,g1,0.8
20,49,g1,0.8
21,25,g0,0.8
22,19,g0,0.8
23,6,g0,0.8
24,7,g0,0.8
25,13,g0,0.8
26,49,g1,0.8
27,1,g0,0.8
28,41,g1,0.8
29,28,g1,0.8
30,25,g1,0.8
31,9,g1,0.8
32,13,g0,0.8
33,14,g0,0.8
34,22,g0,0.8
35,39,g1,0.8
36,44,g1,0.8
37,23,g0,0.8
38,44,g0,0.8
39,14,g0,0.8
40,24,g1,0.8
41,23,g0,0.8
42,7,g0,0.8
43,10,g0,0.8
44,7,g0,0.8
45,32,g1,0.8
46,41,g1,0.8
47,40,g1,0.8
48,8,g0,0.8
49,33,g0,0.8
50,22,g0,0.8
51,36,g1,0.8
52,39,g1,0.8
53,34,g1,0.8
54,36,g1,0.8
55,2,g0,0.8
56,25,g1,0.8
57,13,g0,0.8
58,8,g0,0.8
59,25,g0,0.8
60,12,g0,0.8
61,31,g1,0.8
62,31,g1,0.8
63,36,g1,0.8
64,44,g1,0.8
65,28,g1,0.8
66,31,g1,0.8
67,21,g1,0.8
68,41,g1,0.8
69,5,g0,0.8
70,43,g0,0.8
71,29,g1,0.8
72,27,g1,0.8
73,32,g1,0.8
74,26,g1,0.8
75,12,g1,0.8
76,38,g0,0.8
77,26,g1,0.8
78,36,g1,0.8
79,41,g1,0.8
80,14,g0,0.8
81,31,g1,0.8
82,40,g1,0.8
83,48,g1,0.8
84,11,g0,0.8
85,1,g0,0.8
86,36,g1,0.8
87,16,g0,0.8
88,1,g0,0.8
89,22,g0,0.8
90,32,g1,0.8
91,1,g0,0.8
92,25,g1,0.8
93,31,g1,0.8
94,10,g0,0.8
95,16,g0,0.8
96,23,g0,0.8
97,33,g1,0.8
98,10,g1,0.8
99,15,g1,0.8
100,5,g0,0.8
101,2,g0,0.8
102,35,g0,0.8
103,2,g1,0.8
104,19,g0,0.8
105,40,g1,0.8
106,38,g1,0.8
107,0,g0,0.8
108,24,g0,0.8
