id,node,group,tolerance
0,0,g0,0.8
1,7,g0,0.8
2,4,g0,0.8
3,5,g0,0.9
4,0,g0,0.8
5,11,g0,0.8
6,6,g0,0.8
7,1,g0,0.9
8,1,g0,0.9
9,1,g0,0.9
10,2,g0,0.8
11,3,g0,0.8
12,3,g0,0.8
13,2,g0,0.8
14,4,g0,0.8
15,1,g0,0.9
16,2,g0,0.8
17,2,g0,0.8
18,3,g0,0.8
19,5,g0,0.9
20,1,g0,0.9
21,3,g0,0.8
22,4,g0,0.8
23,0,g0,0.8
24,4,g0,0.8
25,1,g0,0.9
26,0,g0,0.8
27,10,g0,0.8
28,10,g0,0.8
29,5,g0,0.9
30,2,g0,0.8
31,0,g0,0.8
32,5,g0,0.9
33,3,g0,0.8
34,0,g0,0.8
35,3,g0,0.8
36,0,g0,0.8
37,8,g0,0.8
38,1,g0,0.9
39,4,g0,0.8
40,2,g0,0.8
41,3,g0,0.8
42,4,g0,0.8
43,1,g0,0.9
44,11,g0,0.8
45,5,g0,0.9
46,10,g0,0.8
47,8,g0,0.8
48,4,g0,0.8
49,9,g0,0.9
50,0,g0,0.8
51,1,g0,0.9
52,0,g0,0.8
53,2,g0,0.8
54,2,g0,0.8
55,1,g0,0.9
56,6,g0,0.8
57,2,g0,0.8
58,2,g0,0.8
59,4,g0,0.8
60,1,g0,0.9
61,5,g0,0.9
62,0,g0,0.8
63,11,g0,0.8
64,5,g0,0.9
65,1,g0,0.9
66,0,g0,0.8
67,5,g0,0.9
68,5,g0,0.9
69,5,g0,0.9
70,5,g0,0.9
71,0,g0,0.8
72,2,g0,0.8
73,0,g0,0.8
74,7,g0,0.8
75,4,g0,0.8
76,2,g0,0.8
77,0,g0,0.8
78,2,g0,0.8
79,2,g0,0.8
80,5,g0,0.9
81,4,g0,0.8
82,8,g0,0.8
83,3,g0,0.8
84,0,g0,0.8
85,5,g0,0.9
86,5,g0,0.9
87,4,g0,0.8
88,5,g0,0.9
89,3,g0,0.8
90,3,g0,0.8
91,3,g0,0.8
92,0,g0,0.8
93,0,g0,0.8
94,0,g0,0.8
95,4,g0,0.8
96,2,g0,0.8
97,3,g0,0.8
98,8,g0,0.8
99,1,g0,0.9
100,3,g0,0.8
101,5,g0,0.9
102,1,g0,0.9
103,0,g0,0.8
104,2,g0,0.8
105,1,g0,0.9
106,9,g0,0.9
107,5,g0,0.9
108,4,g0,0.8
109,7,g0,0.8
110,5,g0,0.9
111,1,g0,0.9
112,8,g0,0.8
113,3,g0,0.8
114,5,g0,0.9
115,8,g0,0.8
116,2,g0,0.8
117,0,g0,0.8
118,1,g0,0.9
119,3,g0,0.8
120,5,g0,0.9
121,7,g0,0.8
122,0,g0,0.8
123,3,g0,0.8
124,3,g0,0.8
125,1,g0,0.9
126,0,g0,0.8
127,2,g0,0.8
128,10,g0,0.8
129,2,g0,0.8
130,3,g0,0.8
131,5,g0,0.9
132,2,g0,0.8
133,11,g0,0.8
134,10,g0,0.8
135,1,g0,0.9
136,3,g0,0.8
137,2,g0,0.8
138,2,g0,0.8
139,0,g0,0.8
140,4,g0,0.8
141,3,g0,0.8
142,0,g0,0.8
143,1,g0,0.9
144,8,g0,0.8
145,1,g0,0.9
146,1,g0,0.9
147,3,g0,0.8
148,11,g0,0.8
149,1,g0,0.9
150,5,g0,0.9
151,5,g0,0.9
152,1,g0,0.9
153,5,g0,0.9
154,2,g0,0.8
155,4,g0,0.8
156,4,g0,0.8
157,3,g0,0.8
158,0,g0,0.8
159,6,g0,0.8
160,2,g0,0.8
161,1,g0,0.9
162,0,g0,0.8
163,4,g0,0.8
164,5,g0,0.9
165,0,g0,0.8
166,3,g0,0.8
167,1,g0,0.9
168,4,g0,0.8
169,1,g0,0.9
170,5,g0,0.9
171,2,g0,0.8
172,10,g0,0.8
173,1,g0,0.9
174,2,g0,0.8
175,0,g0,0.8
176,9,g0,0.9
177,7,g0,0.8
178,1,g0,0.9
179,4,g0,0.8
180,5,g0,0.9
181,4,g0,0.8
182,3,g0,0.8
183,1,g0,0.9
184,0,g0,0.8
185,8,g0,0.8
186,8,g0,0.8
187,4,g0,0.8
188,2,g0,0.8
