id,node,group,tolerance
0,10,g1,0.8
1,3,g0,0.8
2,5,g0,0.9
3,11,g1,0.9
4,11,g0,0.9
5,9,g1,0.9
6,8,g1,0.8
7,9,g0,0.9
8,2,g0,0.9
9,8,g0,0.8
10,6,g0,0.8
11,1,g1,0.9
12,1,g0,0.9
13,4,g0,0.9
14,11,g0,0.8
15,7,g0,0.9
16,0,g0,0.9
17,3,g0,0.9
18,5,g0,0.9
19,1,g0,0.9
20,9,g1,0.9
21,7,g1,0.9
22,8,g1,0.8
23,1,g0,0.9
24,9,g1,0.9
25,11,g1,0.8
26,0,g0,0.8
27,7,g1,0.9
28,7,g0,0.8
29,0,g0,0.8
30,0,g0,0.9
31,6,g1,0.9
32,6,g1,0.9
33,1,g0,0.8
34,6,g1,0.8
35,2,g0,0.9
36,10,g1,0.8
37,4,g1,0.8
38,0,g0,0.8
39,6,g0,0.8
40,9,g0,0.8
41,2,g0,0.8
42,0,g0,0.9
43,3,g1,0.8
44,6,g1,0.8
45,3,g1,0.8
46,10,g1,0.9
47,1,g0,0.9
48,8,g0,0.9
49,11,g1,0.9
50,10,g1,0.8
51,11,g1,0.9
52,0,g0,0.8
53,8,g1,0.8
54,2,g0,0.9
55,10,g1,0.8
56,0,g0,0.9
57,7,g1,0.9
58,7,g1,0.8
59,0,g0,0.9
60,6,g1,0.8
61,4,g0,0.8
62,10,g1,0.9
63,11,g0,0.8
64,0,g0,0.9
65,1,g0,0.9
66,5,g0,0.9
67,6,g1,0.8
68,0,g0,0.9
69,4,g0,0.9
70,5,g0,0.9
71,0,g0,0.8
72,5,g0,0.8
73,3,g0,0.9
74,2,g0,0.8
75,2,g0,0.8
76,3,g1,0.9
77,6,g1,0.8
78,10,g1,0.8
79,1,g1,0.9
80,9,g1,0.9
81,9,g1,0.9
82,11,g1,0.8
83,11,g1,0.9
84,10,g0,0.8
85,2,g0,0.9
86,2,g1,0.9
87,7,g1,0.9
88,10,g1,0.9
89,5,g0,0.9
90,2,g0,0.8
91,2,g1,0.9
92,1,g0,0.8
93,8,g0,0.9
94,0,g0,0.9
95,3,g0,0.9
96,6,g1,0.9
97,0,g0,0.8
98,2,g0,0.9
99,5,g1,0.8
100,5,g1,0.8
101,1,g0,0.8
102,11,g1,0.8
103,4,g0,0.9
104,2,g0,0.9
105,0,g0,0.9
106,11,g1,0.9
107,4,g1,0.9
108,8,g1,0.8
109,0,g0,0.8
110,2,g1,0.9
111,4,g0,0.8
112,2,g0,0.8
113,9,g1,0.9
114,2,g0,0.9
115,1,g0,0.9
116,6,g0,0.8
117,9,g1,0.8
118,7,g1,0.8
119,5,g0,0.8
120,9,g1,0.8
121,1,g0,0.8
122,11,g1,0.8
123,3,g0,0.8
124,7,g1,0.9
125,11,g1,0.8
126,11,g1,0.9
127,6,g1,0.8
128,8,g0,0.9
129,5,g0,0.9
130,0,g0,0.9
131,5,g0,0.8
132,0,g1,0.9
133,11,g1,0.8
134,3,g1,0.9
135,3,g0,0.8
136,6,g0,0.9
137,1,g0,0.9
138,2,g0,0.8
139,2,g0,0.8
140,9,g0,0.8
141,6,g1,0.9
142,4,g0,0.9
143,0,g0,0.9
144,5,g0,0.9
145,4,g0,0.8
146,6,g1,0.8
147,5,g0,0.8
148,11,g1,0.8
149,4,g0,0.8
150,11,g0,0.8
151,3,g0,0.9
152,9,g1,0.8
153,6,g1,0.9
154,4,g0,0.9
155,5,g0,0.9
156,3,g0,0.9
157,2,g0,0.8
158,7,g1,0.9
159,7,g1,0.9
160,0,g1,0.9
161,10,g1,0.9
162,1,g0,0.8
163,0,g1,0.8
164,4,g0,0.8
165,0,g0,0.8
166,11,g1,0.9
167,1,g0,0.9
168,2,g0,0.9
169,7,g1,0.9
170,9,g1,0.8
171,8,g1,0.9
172,4,g0,0.8
173,7,g1,0.8
174,8,g1,0.8
175,8,g1,0.8
176,0,g0,0.9
