id,node,group,tolerance
0,0,g0,0.8
1,5,g0,0.8
2,5,g0,0.8
3,9,g0,0.8
4,1,g0,0.8
5,0,g0,0.8
6,10,g0,0.8
7,5,g0,0.8
8,2,g0,0.8
9,2,g0,0.8
10,10,g0,0.8
11,1,g0,0.8
12,9,g0,0.8
13,1,g0,0.8
14,2,g0,0.8
15,2,g0,0.8
16,11,g0,0.8
17,4,g0,0.8
18,3,g0,0.8
19,4,g0,0.8
20,3,g0,0.8
21,8,g0,0.8
22,0,g0,0.8
23,5,g0,0.8
24,9,g0,0.8
25,2,g0,0.8
26,5,g0,0.8
27,0,g0,0.8
28,0,g0,0.8
29,8,g0,0.8
30,2,g0,0.8
31,2,g0,0.8
32,2,g0,0.8
33,2,g0,0.8
34,2,g0,0.8
35,9,g0,0.8
36,4,g0,0.8
37,2,g0,0.8
38,10,g0,0.8
39,4,g0,0.8
40,2,g0,0.8
41,0,g0,0.8
42,7,g0,0.8
43,0,g0,0.8
44,5,g0,0.8
45,2,g0,0.8
46,0,g0,0.8
47,5,g0,0.8
48,5,g0,0.8
49,6,g0,0.8
50,6,g0,0.8
51,5,g0,0.8
52,7,g0,0.8
53,3,g0,0.8
54,7,g0,0.8
55,3,g0,0.8
56,3,g0,0.8
57,2,g0,0.8
58,2,g0,0.8
59,2,g0,0.8
60,2,g0,0.8
61,4,g0,0.8
62,4,g0,0.8
63,2,g0,0.8
64,11,g0,0.8
65,3,g0,0.8
66,4,g0,0.8
67,4,g0,0.8
68,2,g0,0.8
69,4,g0,0.8
70,1,g0,0.8
71,2,g0,0.8
72,4,g0,0.8
73,3,g0,0.8
74,1,g0,0.8
75,5,g0,0.8
76,5,g0,0.8
77,3,g0,0.8
78,2,g0,0.8
79,3,g0,0.8
80,3,g0,0.8
81,1,g0,0.8
82,1,g0,0.8
83,2,g0,0.8
84,1,g0,0.8
85,5,g0,0.8
86,2,g0,0.8
87,3,g0,0.8
88,5,g0,0.8
89,4,g0,0.8
90,0,g0,0.8
91,1,g0,0.8
92,7,g0,0.8
93,4,g0,0.8
94,5,g0,0.8
95,5,g0,0.8
96,2,g0,0.8
97,6,g0,0.8
98,10,g0,0.8
99,2,g0,0.8
100,0,g0,0.8
101,2,g0,0.8
102,1,g0,0.8
103,11,g0,0.8
104,4,g0,0.8
105,4,g0,0.8
106,3,g0,0.8
107,2,g0,0.8
108,1,g0,0.8
109,11,g0,0.8
110,1,g0,0.8
111,4,g0,0.8
112,8,g0,0.8
113,1,g0,0.8
114,9,g0,0.8
115,4,g0,0.8
116,2,g0,0.8
117,3,g0,0.8
118,1,g0,0.8
119,0,g0,0.8
120,4,g0,0.8
121,1,g0,0.8
122,1,g0,0.8
123,2,g0,0.8
124,1,g0,0.8
125,9,g0,0.8
126,9,g0,0.8
127,0,g0,0.8
128,9,g0,0.8
129,0,g0,0.8
130,1,g0,0.8
131,1,g0,0.8
132,4,g0,0.8
133,9,g0,0.8
134,11,g0,0.8
135,3,g0,0.8
136,2,g0,0.8
137,4,g0,0.8
138,2,g0,0.8
139,2,g0,0.8
140,2,g0,0.8
141,7,g0,0.8
142,4,g0,0.8
143,3,g0,0.8
144,3,g0,0.8
145,0,g0,0.8
146,9,g0,0.8
147,1,g0,0.8
148,5,g0,0.8
149,2,g0,0.8
150,6,g0,0.8
151,2,g0,0.8
152,2,g0,0.8
153,5,g0,0.8
154,2,g0,0.8
155,3,g0,0.8
156,5,g0,0.8
157,4,g0,0.8
158,5,g0,0.8
159,4,g0,0.8
160,4,g0,0.8
161,5,g0,0.8
162,1,g0,0.8
163,7,g0,0.8
164,5,g0,0.8
165,2,g0,0.8
166,0,g0,0.8
167,3,g0,0.8
168,3,g0,0.8
169,5,g0,0.8
170,2,g0,0.8
171,4,g0,0.8
172,3,g0,0.8
173,2,g0,0.8
174,3,g0,0.8
175,3,g0,0.8
176,1,g0,0.8
177,1,g0,0.8
178,2,g0,0.8
179,3,g0,0.8
180,5,g0,0.8
181,0,g0,0.8
182,10,g0,0.8
183,0,g0,0.8
184,6,g0,0.8
185,2,g0,0.8
186,0,g0,0.8
187,5,g0,0.8
188,7,g0,0.8
189,9,g0,0.8
190,4,g0,0.8
191,3,g0,0.8
192,4,g0,0.8
193,1,g0,0.8
194,4,g0,0.8
195,2,g0,0.8
196,3,g0,0.8
197,0,g0,0.8
198,3,g0,0.8
199,2,g0,0.8
200,11,g0,0.8
201,2,g0,0.8
202,5,g0,0.8
203,6,g0,0.8
204,1,g0,0.8
205,3,g0,0.8
206,0,g0,0.8
207,11,g0,0.8
208,8,g0,0.8
209,2,g0,0.8
210,2,g0,0.8
211,11,g0,0.8
212,7,g0,0.8
213,3,g0,0.8
214,2,g0,0.8
215,1,g0,0.8
216,3,g0,0.8
217,11,g0,0.8
218,3,g0,0.8
219,3,g0,0.8
220,2,g0,0.8
221,1,g0,0.8
222,0,g0,0.8
223,5,g0,0.8
224,7,g0,0.8
225,3,g0,0.8
226,0,g0,0.8
227,4,g0,0.8
228,2,g0,0.8
229,3,g0,0.8
230,2,g0,0.8
231,1,g0,0.8
232,1,g0,0.8
233,2,g0,0.8
234,3,g0,0.8
235,1,g0,0.8
236,2,g0,0.8
237,0,g0,0.8
238,1,g0,0.8
239,4,g0,0.8
240,3,g0,0.8
241,5,g0,0.8
242,1,g0,0.8
243,6,g0,0.8
244,3,g0,0.8
245,0,g0,0.8
246,9,g0,0.8
247,4,g0,0.8
248,5,g0,0.8
249,1,g0,0.8
250,5,g0,0.8
251,3,g0,0.8
252,1,g0,0.8
253,3,g0,0.8
254,5,g0,0.8
255,2,g0,0.8
256,2,g0,0.8
257,4,g0,0.8
258,7,g0,0.8
259,5,g0,0.8
260,8,g0,0.8
261,5,g0,0.8
262,2,g0,0.8
263,0,g0,0.8
264,11,g0,0.8
265,2,g0,0.8
266,7,g0,0.8
267,9,g0,0.8
268,11,g0,0.8
269,3,g0,0.8
270,2,g0,0.8
271,5,g0,0.8
272,9,g0,0.8
273,4,g0,0.8
274,1,g0,0.8
275,1,g0,0.8
276,3,g0,0.8
277,0,g0,0.8
278,6,g0,0.8
279,4,g0,0.8
280,0,g0,0.8
281,0,g0,0.8
282,1,g0,0.8
283,4,g0,0.8
284,1,g0,0.8
285,4,g0,0.8
286,3,g0,0.8
287,5,g0,0.8
288,11,g0,0.8
289,5,g0,0.8
290,2,g0,0.8
291,7,g0,0.8
292,4,g0,0.8
293,0,g0,0.8
294,2,g0,0.8
295,5,g0,0.8
296,4,g0,0.8
297,0,g0,0.8
298,3,g0,0.8
299,4,g0,0.8
300,7,g1,0.8
301,0,g1,0.8
302,11,g1,0.8
303,10,g1,0.8
304,10,g1,0.8
305,10,g1,0.8
306,8,g1,0.8
307,7,g1,0.8
308,3,g1,0.8
309,11,g1,0.8
310,6,g1,0.8
311,6,g1,0.8
312,0,g1,0.8
313,8,g1,0.8
314,10,g1,0.8
315,7,g1,0.8
316,11,g1,0.8
317,8,g1,0.8
318,6,g1,0.8
319,6,g1,0.8
320,9,g1,0.8
321,5,g1,0.8
322,7,g1,0.8
323,7,g1,0.8
324,7,g1,0.8
325,10,g1,0.8
326,5,g1,0.8
327,4,g1,0.8
328,8,g1,0.8
329,11,g1,0.8
330,8,g1,0.8
331,10,g1,0.8
332,7,g1,0.8
333,9,g1,0.8
334,6,g1,0.8
335,9,g1,0.8
336,9,g1,0.8
337,10,g1,0.8
338,8,g1,0.8
339,7,g1,0.8
340,7,g1,0.8
341,6,g1,0.8
342,8,g1,0.8
343,6,g1,0.8
344,8,g1,0.8
345,2,g1,0.8
346,8,g1,0.8
347,10,g1,0.8
348,8,g1,0.8
349,2,g1,0.8
350,2,g1,0.8
351,9,g1,0.8
352,9,g1,0.8
353,11,g1,0.8
354,9,g1,0.8
355,6,g1,0.8
356,10,g1,0.8
357,3,g1,0.8
358,6,g1,0.8
359,7,g1,0.8
360,0,g1,0.8
361,8,g1,0.8
362,4,g1,0.8
363,11,g1,0.8
364,11,g1,0.8
365,9,g1,0.8
366,9,g1,0.8
367,6,g1,0.8
368,1,g1,0.8
369,6,g1,0.8
370,9,g1,0.8
371,6,g1,0.8
372,0,g1,0.8
373,11,g1,0.8
374,6,g1,0.8
375,8,g1,0.8
376,11,g1,0.8
377,10,g1,0.8
378,7,g1,0.8
379,10,g1,0.8
380,7,g1,0.8
381,8,g1,0.8
382,6,g1,0.8
383,8,g1,0.8
384,6,g1,0.8
385,9,g1,0.8
386,9,g1,0.8
387,5,g1,0.8
388,10,g1,0.8
389,9,g1,0.8
390,9,g1,0.8
391,8,g1,0.8
392,10,g1,0.8
393,11,g1,0.8
394,8,g1,0.8
395,7,g1,0.8
396,10,g1,0.8
397,8,g1,0.8
398,9,g1,0.8
399,9,g1,0.8
