id,node,group,tolerance
0,10,g1,0.8
1,4,g0,0.8
2,7,g1,0.8
3,4,g1,0.19999999999999996
4,11,g1,0.8
5,1,g0,0.9
6,4,g0,0.8
7,9,g1,0.9
8,11,g0,0.19999999999999996
9,10,g1,0.8
10,9,g0,0.09999999999999998
11,11,g1,0.8
12,2,g0,0.8
13,3,g0,0.8
14,2,g1,0.19999999999999996
15,6,g0,0.19999999999999996
16,6,g0,0.19999999999999996
17,8,g1,0.8
18,1,g0,0.9
19,9,g0,0.09999999999999998
20,3,g0,0.8
21,11,g0,0.19999999999999996
22,7,g0,0.19999999999999996
23,0,g0,0.8
24,7,g1,0.8
25,5,g0,0.9
26,3,g0,0.8
27,1,g0,0.9
28,1,g0,0.9
29,3,g0,0.8
30,7,g1,0.8
31,11,g0,0.19999999999999996
32,7,g1,0.8
33,1,g0,0.9
34,7,g1,0.8
35,11,g1,0.8
36,8,g1,0.8
37,0,g0,0.8
38,8,g1,0.8
39,11,g1,0.8
40,10,g0,0.19999999999999996
41,7,g1,0.8
42,0,g0,0.8
43,9,g1,0.9
44,8,g1,0.8
45,8,g1,0.8
46,1,g0,0.9
47,6,g1,0.8
48,7,g1,0.8
49,11,g1,0.8
50,10,g1,0.8
51,2,g0,0.8
52,2,g0,0.8
53,9,g1,0.9
54,6,g0,0.19999999999999996
55,9,g0,0.09999999999999998
56,2,g0,0.8
57,6,g1,0.8
58,3,g1,0.19999999999999996
59,6,g1,0.8
60,10,g1,0.8
61,6,g1,0.8
62,5,g0,0.9
63,9,g1,0.9
64,8,g0,0.19999999999999996
65,11,g1,0.8
66,11,g1,0.8
67,10,g1,0.8
68,6,g1,0.8
69,6,g1,0.8
70,0,g0,0.8
71,8,g1,0.8
72,8,g1,0.8
73,5,g0,0.9
74,8,g1,0.8
75,0,g0,0.8
76,11,g1,0.8
77,10,g1,0.8
78,7,g1,0.8
79,0,g0,0.8
80,9,g1,0.9
81,6,g1,0.8
82,0,g0,0.8
83,7,g0,0.19999999999999996
84,0,g1,0.19999999999999996
85,11,g0,0.19999999999999996
86,4,g0,0.8
87,0,g0,0.8
88,1,g0,0.9
89,9,g1,0.9
90,6,g1,0.8
91,10,g1,0.8
92,0,g0,0.8
93,7,g1,0.8
94,1,g0,0.9
95,10,g1,0.8
96,0,g0,0.8
97,10,g0,0.19999999999999996
98,2,g0,0.8
99,10,g1,0.8
100,9,g1,0.9
101,2,g0,0.8
102,6,g0,0.19999999999999996
103,0,g0,0.8
104,6,g1,0.8
105,0,g0,0.8
106,8,g0,0.19999999999999996
107,6,g1,0.8
108,9,g1,0.9
109,11,g0,0.19999999999999996
110,8,g1,0.8
111,0,g0,0.8
112,11,g1,0.8
113,10,g0,0.19999999999999996
114,8,g1,0.8
115,2,g1,0.19999999999999996
116,5,g0,0.9
117,7,g1,0.8
118,0,g0,0.8
119,5,g0,0.9
120,2,g0,0.8
121,8,g1,0.8
122,1,g0,0.9
123,1,g0,0.9
124,2,g0,0.8
125,8,g0,0.19999999999999996
126,3,g0,0.8
127,4,g0,0.8
128,7,g1,0.8
129,6,g1,0.8
130,0,g0,0.8
131,10,g1,0.8
132,6,g1,0.8
133,5,g1,0.09999999999999998
