id,node,group
0,0,g0
1,0,g0
2,0,g0
3,0,g0
4,0,g0
5,0,g0
6,0,g0
7,0,g0
8,0,g0
9,0,g0
10,0,g0
11,0,g0
12,0,g0
13,0,g0
14,0,g0
15,0,g0
16,0,g1
17,0,g1
18,0,g1
19,0,g1
20,0,g1
21,0,g1
22,0,g1
23,0,g1
24,0,g1
25,0,g1
26,1,g0
27,1,g0
28,1,g0
29,1,g0
30,1,g0
31,1,g0
32,1,g0
33,1,g0
34,1,g0
35,1,g0
36,1,g0
37,1,g0
38,1,g0
39,1,g0
40,1,g0
41,1,g0
42,1,g0
43,1,g0
44,1,g0
45,1,g0
46,1,g0
47,1,g0
48,1,g0
49,1,g1
50,1,g1
51,2,g0
52,2,g0
53,2,g0
54,2,g0
55,2,g0
56,2,g0
57,2,g0
58,2,g0
59,2,g0
60,2,g0
61,2,g0
62,2,g0
63,2,g0
64,2,g0
65,2,g0
66,2,g0
67,2,g0
68,2,g0
69,2,g0
70,2,g0
71,2,g0
72,2,g1
73,2,g1
74,2,g1
75,2,g1
76,2,g1
77,3,g0
78,3,g0
79,3,g0
80,3,g0
81,3,g0
82,3,g0
83,3,g0
84,3,g0
85,3,g0
86,3,g0
87,3,g0
88,3,g0
89,3,g0
90,3,g0
91,3,g0
92,3,g0
93,3,g1
94,3,g1
95,3,g1
96,3,g1
97,3,g1
98,3,g1
99,3,g1
100,3,g1
101,3,g1
102,3,g1
103,4,g0
104,4,g0
105,4,g0
106,4,g0
107,4,g0
108,4,g0
109,4,g0
110,4,g0
111,4,g0
112,4,g0
113,4,g0
114,4,g0
115,4,g0
116,4,g0
117,4,g0
118,4,g0
119,4,g0
120,4,g0
121,4,g0
122,4,g0
123,4,g0
124,4,g1
125,4,g1
126,4,g1
127,4,g1
128,4,g1
129,5,g0
130,5,g0
131,5,g0
132,5,g0
133,5,g0
134,5,g0
135,5,g0
136,5,g0
137,5,g0
138,5,g0
139,5,g0
140,5,g0
141,5,g0
142,5,g0
143,5,g0
144,5,g0
145,5,g0
146,5,g0
147,5,g0
148,5,g0
149,5,g0
150,5,g1
151,5,g1
152,5,g1
153,5,g1
154,5,g1
155,6,g0
156,6,g0
157,6,g0
158,6,g0
159,6,g0
160,6,g0
161,6,g0
162,6,g0
163,6,g0
164,6,g0
165,6,g0
166,6,g0
167,6,g0
168,6,g0
169,6,g0
170,6,g0
171,6,g1
172,6,g1
173,6,g1
174,6,g1
175,6,g1
176,6,g1
177,6,g1
178,6,g1
179,6,g1
180,6,g1
181,7,g0
182,7,g0
183,7,g0
184,7,g0
185,7,g0
186,7,g0
187,7,g0
188,7,g0
189,7,g0
190,7,g0
191,7,g0
192,7,g0
193,7,g0
194,7,g0
195,7,g0
196,7,g0
197,7,g0
198,7,g0
199,7,g0
200,7,g0
201,7,g0
202,7,g1
203,7,g1
204,7,g1
205,7,g1
206,7,g1
207,8,g0
208,8,g0
209,8,g0
210,8,g0
211,8,g0
212,8,g0
213,8,g0
214,8,g0
215,8,g0
216,8,g0
217,8,g0
218,8,g0
219,8,g0
220,8,g0
221,8,g0
222,8,g0
223,8,g1
224,8,g1
225,8,g1
226,8,g1
227,8,g1
228,8,g1
229,8,g1
230,8,g1
231,8,g1
232,8,g1
233,9,g0
234,9,g0
235,9,g0
236,9,g0
237,9,g0
238,9,g0
239,9,g0
240,9,g0
241,9,g0
242,9,g0
243,9,g0
244,9,g0
245,9,g0
246,9,g0
247,9,g0
248,9,g0
249,9,g1
250,9,g1
251,9,g1
252,9,g1
253,9,g1
254,9,g1
255,9,g1
256,9,g1
257,9,g1
258,9,g1
259,10,g0
260,10,g0
261,10,g0
262,10,g0
263,10,g0
264,10,g0
265,10,g0
266,10,g0
267,10,g0
268,10,g0
269,10,g0
270,10,g0
271,10,g0
272,10,g0
273,10,g0
274,10,g0
275,10,g0
276,10,g0
277,10,g0
278,10,g0
279,10,g0
280,10,g0
281,10,g0
282,10,g1
283,10,g1
284,11,g0
285,11,g0
286,11,g0
287,11,g0
288,11,g0
289,11,g0
290,11,g0
