id,node,group,tolerance
0,7,g1,0.8
1,7,g1,0.8
2,5,g0,0.6
3,7,g1,0.8
4,5,g0,0.6
5,11,g1,0.9
6,11,g1,0.9
7,11,g0,0.09999999999999998
8,10,g1,0.9
9,9,g0,0.09999999999999998
10,11,g1,0.9
11,2,g0,0.9
12,3,g0,0.9
13,2,g0,0.9
14,6,g1,0.9
15,6,g0,0.09999999999999998
16,8,g1,0.9
17,1,g0,0.6
18,9,g0,0.09999999999999998
19,3,g0,0.9
20,11,g1,0.9
21,7,g0,0.19999999999999996
22,0,g0,0.9
23,7,g1,0.8
24,5,g0,0.6
25,3,g0,0.9
26,1,g1,0.4
27,1,g0,0.6
28,3,g0,0.9
29,7,g1,0.8
30,11,g0,0.09999999999999998
31,7,g1,0.8
32,1,g0,0.6
33,7,g1,0.8
34,11,g1,0.9
35,8,g1,0.9
36,0,g0,0.9
37,8,g1,0.9
38,11,g1,0.9
39,10,g1,0.9
40,7,g1,0.8
41,0,g0,0.9
42,9,g1,0.9
43,8,g1,0.9
44,8,g1,0.9
45,1,g0,0.6
46,6,g1,0.9
47,7,g1,0.8
48,11,g1,0.9
49,10,g1,0.9
50,2,g0,0.9
51,2,g0,0.9
52,9,g1,0.9
53,6,g0,0.09999999999999998
54,9,g0,0.09999999999999998
55,2,g0,0.9
56,6,g1,0.9
57,3,g1,0.09999999999999998
58,6,g1,0.9
59,10,g1,0.9
60,6,g1,0.9
61,5,g1,0.4
62,9,g1,0.9
63,8,g1,0.9
64,11,g1,0.9
65,11,g1,0.9
66,10,g1,0.9
67,6,g1,0.9
68,6,g1,0.9
69,0,g0,0.9
70,8,g1,0.9
71,8,g1,0.9
72,5,g0,0.6
73,8,g1,0.9
74,0,g0,0.9
75,11,g1,0.9
76,10,g1,0.9
77,7,g1,0.8
78,0,g0,0.9
79,9,g1,0.9
80,6,g1,0.9
81,0,g0,0.9
82,7,g0,0.19999999999999996
83,0,g1,0.09999999999999998
84,11,g0,0.09999999999999998
85,4,g0,0.6
86,0,g0,0.9
87,1,g0,0.6
88,9,g1,0.9
89,6,g1,0.9
90,10,g1,0.9
91,0,g0,0.9
92,7,g1,0.8
93,1,g1,0.4
94,10,g1,0.9
95,0,g0,0.9
96,10,g1,0.9
97,2,g0,0.9
98,10,g1,0.9
99,9,g1,0.9
