id,node,group,tolerance
0,11,g0,0.8
1,43,g0,0.8
2,22,g0,0.8
3,18,g0,0.8
4,4,g0,0.8
5,4,g0,0.8
6,1,g0,0.8
7,33,g0,0.8
8,18,g0,0.8
9,22,g0,0.8
10,0,g0,0.8
11,46,g0,0.8
12,29,g0,0.8
13,6,g0,0.8
14,5,g0,0.8
15,5,g0,0.8
16,9,g0,0.8
17,16,g0,0.8
18,13,g0,0.8
19,9,g0,0.8
20,19,g0,0.8
21,4,g0,0.8
22,9,g0,0.8
23,11,g0,0.8
24,14,g0,0.8
25,24,g0,0.8
26,6,g0,0.8
27,16,g0,0.8
28,18,g0,0.8
29,1,g0,0.8
30,18,g0,0.8
31,5,g0,0.8
32,2,g0,0.8
33,43,g0,0.8
34,45,g0,0.8
35,26,g0,0.8
36,9,g0,0.8
37,3,g0,0.8
38,21,g0,0.8
39,13,g0,0.8
40,3,g0,0.8
41,15,g0,0.8
42,1,g0,0.8
43,38,g0,0.8
44,8,g0,0.8
45,20,g0,0.8
46,9,g0,0.8
47,16,g0,0.8
48,17,g0,0.8
49,5,g0,0.8
50,46,g0,0.8
51,24,g0,0.8
52,42,g0,0.8
53,36,g0,0.8
54,18,g0,0.8
55,40,g0,0.8
56,2,g0,0.8
57,6,g0,0.8
58,1,g0,0.8
59,10,g0,0.8
60,12,g0,0.8
61,8,g0,0.8
62,28,g0,0.8
63,11,g0,0.8
64,8,g0,0.8
65,16,g0,0.8
66,4,g0,0.8
67,25,g0,0.8
68,2,g0,0.8
69,48,g0,0.8
70,24,g0,0.8
71,6,g0,0.8
72,0,g0,0.8
73,26,g0,0.8
74,22,g0,0.8
75,22,g0,0.8
76,24,g0,0.8
77,2,g0,0.8
78,11,g0,0.8
79,3,g0,0.8
80,32,g0,0.8
81,19,g0,0.8
82,10,g0,0.8
83,1,g0,0.8
84,9,g0,0.8
85,10,g0,0.8
86,22,g0,0.8
87,19,g0,0.8
88,35,g0,0.8
89,14,g0,0.8
90,3,g0,0.8
91,22,g0,0.8
92,23,g0,0.8
93,17,g0,0.8
94,24,g0,0.8
95,15,g0,0.8
96,16,g0,0.8
97,13,g0,0.8
98,0,g0,0.8
99,3,g0,0.8
100,0,g0,0.8
101,19,g0,0.8
102,9,g0,0.8
103,15,g0,0.8
104,38,g0,0.8
105,7,g0,0.8
106,12,g0,0.8
107,23,g0,0.8
108,7,g0,0.8
109,2,g0,0.8
110,9,g0,0.8
111,5,g0,0.8
112,41,g0,0.8
113,26,g0,0.8
114,19,g0,0.8
115,33,g0,0.8
116,25,g0,0.8
117,5,g0,0.8
118,36,g0,0.8
119,16,g0,0.8
120,25,g0,0.8
121,37,g0,0.8
122,9,g0,0.8
123,3,g0,0.8
124,7,g0,0.8
125,13,g0,0.8
126,27,g0,0.8
127,32,g0,0.8
128,0,g0,0.8
129,15,g0,0.8
130,13,g0,0.8
131,6,g0,0.8
132,3,g0,0.8
133,10,g0,0.8
134,42,g0,0.8
135,10,g0,0.8
136,16,g0,0.8
137,21,g0,0.8
138,11,g0,0.8
139,46,g0,0.8
140,45,g0,0.8
141,7,g0,0.8
142,15,g0,0.8
143,9,g0,0.8
144,8,g0,0.8
145,1,g0,0.8
146,19,g0,0.8
147,15,g0,0.8
148,1,g0,0.8
149,8,g0,0.8
150,38,g0,0.8
151,7,g0,0.8
152,4,g0,0.8
153,15,g0,0.8
154,48,g0,0.8
155,7,g0,0.8
156,21,g0,0.8
157,23,g0,0.8
158,7,g0,0.8
159,22,g0,0.8
160,11,g0,0.8
161,19,g0,0.8
162,19,g0,0.8
163,16,g0,0.8
164,2,g0,0.8
165,29,g0,0.8
166,10,g0,0.8
167,5,g0,0.8
168,1,g0,0.8
169,18,g0,0.8
170,21,g0,0.8
171,0,g0,0.8
172,16,g0,0.8
173,7,g0,0.8
174,20,g0,0.8
175,5,g0,0.8
176,21,g0,0.8
177,12,g0,0.8
178,42,g0,0.8
179,4,g0,0.8
180,10,g0,0.8
181,3,g0,0.8
182,40,g0,0.8
183,34,g0,0.8
184,8,g0,0.8
185,20,g0,0.8
186,27,g0,0.8
187,17,g0,0.8
188,16,g0,0.8
189,7,g0,0.8
190,2,g0,0.8
191,37,g0,0.8
192,37,g0,0.8
193,19,g0,0.8
194,10,g0,0.8
195,10,g0,0.8
196,22,g0,0.8
197,37,g0,0.8
198,35,g0,0.8
199,24,g0,0.8
200,20,g0,0.8
201,2,g0,0.8
202,5,g0,0.8
203,37,g0,0.8
204,18,g0,0.8
205,0,g0,0.8
206,3,g0,0.8
207,20,g0,0.8
208,0,g0,0.8
209,5,g0,0.8
210,17,g0,0.8
211,21,g0,0.8
212,20,g0,0.8
213,7,g0,0.8
214,22,g0,0.8
215,7,g0,0.8
216,10,g0,0.8
217,23,g0,0.8
218,20,g0,0.8
219,31,g0,0.8
220,20,g0,0.8
221,17,g0,0.8
222,2,g0,0.8
223,11,g0,0.8
224,8,g0,0.8
225,7,g0,0.8
226,46,g0,0.8
227,12,g0,0.8
228,36,g0,0.8
229,19,g0,0.8
230,24,g0,0.8
231,15,g0,0.8
232,18,g0,0.8
233,15,g0,0.8
234,6,g0,0.8
235,22,g0,0.8
236,8,g0,0.8
237,0,g0,0.8
238,20,g0,0.8
239,5,g0,0.8
240,42,g0,0.8
241,44,g0,0.8
242,39,g0,0.8
243,11,g0,0.8
244,0,g0,0.8
245,41,g0,0.8
246,13,g0,0.8
247,45,g0,0.8
248,45,g0,0.8
249,31,g0,0.8
250,9,g0,0.8
251,12,g0,0.8
252,31,g0,0.8
253,9,g0,0.8
254,5,g0,0.8
255,17,g0,0.8
256,42,g0,0.8
257,21,g0,0.8
258,17,g0,0.8
259,3,g0,0.8
260,19,g0,0.8
261,48,g0,0.8
262,4,g0,0.8
263,16,g0,0.8
264,34,g0,0.8
265,23,g0,0.8
266,21,g0,0.8
267,21,g0,0.8
268,11,g0,0.8
269,9,g0,0.8
270,26,g0,0.8
271,26,g0,0.8
272,33,g0,0.8
273,39,g0,0.8
274,15,g0,0.8
275,15,g0,0.8
276,24,g0,0.8
277,20,g0,0.8
278,21,g0,0.8
279,24,g0,0.8
280,36,g0,0.8
281,10,g0,0.8
282,11,g0,0.8
283,2,g0,0.8
284,18,g0,0.8
285,1,g0,0.8
286,14,g0,0.8
287,16,g0,0.8
288,8,g0,0.8
289,18,g0,0.8
290,0,g0,0.8
291,1,g0,0.8
292,27,g0,0.8
293,11,g0,0.8
294,3,g0,0.8
295,16,g0,0.8
296,24,g0,0.8
297,6,g0,0.8
298,19,g0,0.8
299,2,g0,0.8
300,1,g0,0.8
301,16,g0,0.8
302,16,g0,0.8
303,19,g0,0.8
304,22,g0,0.8
305,46,g0,0.8
306,16,g0,0.8
307,10,g0,0.8
308,24,g0,0.8
309,8,g0,0.8
310,13,g0,0.8
311,2,g0,0.8
312,0,g0,0.8
313,45,g0,0.8
314,29,g0,0.8
315,21,g0,0.8
316,12,g0,0.8
317,5,g0,0.8
318,4,g0,0.8
319,7,g0,0.8
320,17,g0,0.8
321,22,g0,0.8
322,20,g0,0.8
323,8,g0,0.8
324,44,g0,0.8
325,23,g0,0.8
326,17,g0,0.8
327,19,g0,0.8
328,13,g0,0.8
329,7,g0,0.8
330,11,g0,0.8
331,23,g0,0.8
332,0,g0,0.8
333,3,g0,0.8
334,1,g0,0.8
335,1,g0,0.8
336,31,g0,0.8
337,21,g0,0.8
338,14,g0,0.8
339,3,g0,0.8
340,15,g0,0.8
341,14,g0,0.8
342,5,g0,0.8
343,13,g0,0.8
344,12,g0,0.8
345,19,g0,0.8
346,19,g0,0.8
347,1,g0,0.8
348,11,g0,0.8
349,19,g0,0.8
350,15,g0,0.8
351,32,g0,0.8
352,20,g0,0.8
353,5,g0,0.8
354,2,g0,0.8
355,20,g0,0.8
356,0,g0,0.8
357,18,g0,0.8
358,42,g0,0.8
359,17,g0,0.8
360,12,g0,0.8
361,20,g0,0.8
362,14,g0,0.8
363,17,g0,0.8
364,42,g0,0.8
365,12,g0,0.8
366,45,g0,0.8
367,38,g0,0.8
